"","Province_State","Country_Region","Last_Update","Lat","Long_","Confirmed","Deaths","Recovered","Active","FIPS","Incident_Rate","People_Tested","People_Hospitalized","Mortality_Rate","UID","ISO3","Testing_Rate","Hospitalization_Rate","Date"
"1693","Northern Mariana Islands","US","2020-05-09 02:32:39","15.0979","145.6739","15","2","12","1.0","69","27.201508777020166","2336","","13.333333333333334","580","MNP","4236.181633541274","","05-08-2020"
"1694","Ohio","US","2020-05-09 02:32:39","40.3888","-82.7649","23016","1545","","21710.0","39","205.9807443443895","184316","4218","5.674313521028849","84000039","USA","1649.5284530144463","18.326381647549532","05-08-2020"
"1695","Oklahoma","US","2020-05-09 02:32:39","35.5653","-96.9289","4424","266","3064","1094.0","40","120.95250645635949","89857","805","6.012658227848101","84000040","USA","2456.697416964081","18.196202531645568","05-08-2020"
"1696","Oregon","US","2020-05-09 02:32:39","44.571999999999996","-122.0709","3068","124","1125","1819.0","41","76.56459551283555","72693","659","4.041720990873533","84000041","USA","1814.1167345549395","21.479791395045634","05-08-2020"
"1697","Pennsylvania","US","2020-05-09 02:32:39","40.5908","-77.2098","57371","3715","","53656.0","42","455.7776657265539","270559","","6.475396977567064","84000042","USA","2149.4265301513083","","05-08-2020"
"1698","Puerto Rico","US","2020-05-09 02:32:39","18.2208","-66.5901","2156","107","","2049.0","72","73.49812913853101","2156","","4.962894248608534","630","PRI","73.49812913853101","","05-08-2020"
"1699","Rhode Island","US","2020-05-09 02:32:39","41.6809","-71.5118","10779","148","730","9650.0","44","1017.5001722736631","85266","1187","3.7016420818257725","84000044","USA","8048.814332413596","11.012153260970406","05-08-2020"
"1700","South Carolina","US","2020-05-09 02:32:39","33.8569","-80.945","7367","320","3816","3231.0","45","146.171359976984","73442","1152","4.343694855436405","84000045","USA","1457.1897678063879","15.637301479571061","05-08-2020"
"1701","South Dakota","US","2020-05-09 02:32:39","44.2998","-99.4388","3145","31","2069","1045.0","46","427.3724948769656","21293","247","0.985691573926868","84000046","USA","2893.4952411495165","7.853736089030207","05-08-2020"
"1702","Tennessee","US","2020-05-09 02:32:39","35.7478","-86.6923","14441","242","7011","7188.0","47","219.97191439541845","243578","1299","1.6757842254691504","84000047","USA","3710.291459359271","8.995221937538952","05-08-2020"
"1703","Texas","US","2020-05-09 02:32:39","31.0545","-97.5635","37530","1081","19197","17024.0","48","162.0479068536484","477118","","2.7519733662675185","84000048","USA","2075.8195033614084","","05-08-2020"
"1704","Utah","US","2020-05-09 02:32:39","40.15","-111.8624","5919","61","2769","3089.0","49","206.53327666665967","138688","488","1.0305794897786789","84000049","USA","4839.278100075299","8.24463591822943","05-08-2020"
"1705","Vermont","US","2020-05-09 02:32:39","44.0459","-72.7107","919","53","737","129.0","50","150.50991580288607","19008","","5.767138193688792","84000050","USA","3113.049488118888","","05-08-2020"
"1706","Virgin Islands","US","2020-05-09 02:32:39","18.3358","-64.8963","68","4","57","7.0","78","63.39262408173919","1092","","5.882352941176471","850","VIR","1018.0109631949882","","05-08-2020"
"1707","Virginia","US","2020-05-09 02:32:39","37.7693","-78.17","22342","812","2997","18533.0","51","282.5515382757299","129945","4622","3.634410527258079","84000051","USA","1643.3694226676093","20.687494405156208","05-08-2020"
